Unidade Acadêmica/Curso;2014;2015;2016;2017
Centro de Desenvolvimento Sustentável - CDS;7;10;8;6
Desenvolvimento Sustentável;7;10;8;6
Centro de Estudos Avançados e Multidisciplinares - CEAM;            -;4;6;8
Desenvolvimento, Sociedade e Cooperação Internacional;            -;4;6;8
Faculdade de Comunicação - FAC;18;9;7;11
Comunicação;18;9;7;11
Faculdade de Economia, Administração e Contabilidade - FACE;26;28;35;30
Administração;14;8;14;10
Ciências Contábeis;5;9;14;7
Economia;7;11;7;13
Faculdade de Arquitetura e Urbanismo - FAU;10;14;16;16
Arquitetura e Urbanismo;10;14;16;16
Faculdade de Agronomia e Medicina Veterinária - FAV;15;16;28;18
Agronomia;9;9;14;8
Ciências Animais;6;5;8;9
Saúde Animal;            -;2;6;1
Faculdade UnB Ceilândia - FCE;3;13;6;5
Ciências e Tecnologias em Saúde;3;13;6;5
Faculdade de Ciência da Informação - FCI;6;22;15;18
Ciência da Informação;6;22;15;18
Faculdade de Direito - FD;13;12;19;22
Direito;13;12;19;22
Faculdade de Educação - FE;22;32;32;30
Educação;22;32;32;30
Faculdade de Educação Física - FEF;            -;-;-;2
Educação Física;            -;-;-;2
Faculdade de Medicina - FM;22;11;18;12
Ciências Médicas;10;9;14;7
Medicina Tropical;4;2;4;5
Patologia Molecular;8;5;7;7
Faculdade de Ciências da Saúde - FS;42;62;64;59
Bioética;5;8;6;11
Ciências da Saúde;26;36;35;18
Ciências Farmacêuticas;2;3;7;2
Enfermagem;3;5;4;5
Nutrição Humana;6;5;4;10
Saúde Coletiva;            -;-;1;6
Faculdade de Tecnologia - FT;47;49;59;63
Ciências Florestais;14;9;11;9
Ciências Mecânicas;3;5;8;8
Engenharia de Sistemas Eletrônicos e de Automação;2;6;6;6
Engenharia Elétrica;3;9;3;5
Estruturas e Construção Civil;6;5;10;7
Geotecnia;10;9;13;11
Sistemas Mecatrônicos;3;1;2;6
Tecnologia Ambiental e Recursos Hídricos;            -;1;-;3
Transportes;6;4;6;8
Instituto de Ciências Biológicas - IB;36;49;73;59
Biologia Animal;6;10;12;11
Biologia Microbiana;            -;-;4;1
Biotecnologia e Biodiversidade;-;-;-;2
Botânica;3;6;14;7
Ciências Biológicas;17;14;14;15
Ecologia;7;11;16;9
Fitopatologia;3;8;7;5
Nanociência e Nanobiotecnologia;            -;-;2;7
Zoologia;            -;-;4;2
Instituto de Ciências Sociais - ICS;17;28;24;26
Antropologia;3;11;7;8
Ciências Sociais;5;9;8;10
Sociologia;9;8;9;8
Instituto de Artes - IdA;9;18;8;8
Artes;9;18;8;8
Instituto de Ciências Exatas - IE;10;14;16;17
Informática;1;9;2;7
Matemática;9;5;14;10
Instituto de Física - IF;9;11;11;10
Física;9;11;11;10
Instituto de Geociências - IG;8;12;8;18
Geociências Aplicadas;3;3;3;-
Geociências Aplicadas e Geodinâmica;-;-;-;9
Geologia;5;9;5;9
Instituto de Ciências Humanas - IH;12;25;33;34
Geografia;1;10;17;19
História;10;7;9;7
Política Social;1;8;7;8
Instituto de Letras - IL;29;36;33;26
Linguística;16;26;18;17
Literatura;13;10;15;9
Instituto de Psicologia - IP;33;34;42;46
Ciências do Comportamento;6;4;6;13
Ensino na Saúde;-;3;5;-
Processos de Desenvolvimento Humano e Saúde;9;6;6;14
Psicologia Clínica e Cultura;9;15;13;17
Psicologia Social do Trabalho e das Organizações;9;6;12;2
Instituto de Ciência Política - IPOL;6;4;3;3
Ciência Política;6;4;3;3
Instituto de Química - IQ;3;16;10;16
Química;3;16;9;11
Tecnologias Química e Biológica;            -;-;1;5
Instituto de Relações Internacionais - IREL;8;7;8;8
Relações Internacionais;8;7;8;8
Relações Internacionais e Desenvolvimento Regional;            -;-;-;-
Total Geral;411;536;582;571
