Unidade Acadêmica/Curso;2015;2016;2017;2018
Centro de Desenvolvimento Sustentável - CDS;44;57;59;64
Desenvolvimento Sustentável;44;57;59;64
Centro de Estudos Avançados e Multidisciplinares - CEAM;41;37;40;40
Desenvolvimento, Sociedade e Cooperação Internacional;41;37;40;40
Faculdade de Comunicação - FAC;55;56;66;66
Comunicação;55;56;66;66
Faculdade de Economia, Administração e Contabilidade - FACE;214;202;221;229
Administração;70;86;95;108
Ciências Contábeis;51;42;49;40
Economia;93;74;77;81
Faculdade de Arquitetura e Urbanismo - FAU;76;75;80;90
Arquitetura e Urbanismo;76;75;80;90
Faculdade de Agronomia e Medicina Veterinária - FAV;113;108;101;106
Agronomia;60;62;57;61
Ciências Animais;32;34;32;26
Saúde Animal;21;12;12;19
Faculdade UnB Ceilândia - FCE;42;46;44;52
Ciências e Tecnologias em Saúde;42;46;44;52
Faculdade de Ciência da Informação - FCI;72;51;43;45
Ciência da Informação;72;51;43;45
Faculdade de Direito - FD;108;108;118;126
Direito;108;108;118;126
Faculdade de Educação - FE;137;133;151;141
Educação;137;133;151;141
Faculdade de Educação Física - FEF;27;52;72;83
Educação Física;27;52;72;83
Faculdade de Medicina - FM;85;94;90;92
Ciências Médicas;60;63;59;57
Medicina Tropical;25;31;31;35
Patologia Molecular;44;49;54;53
Faculdade de Ciências da Saúde - FS;343;359;368;384
Bioética;31;35;33;29
Ciências da Saúde;149;148;138;142
Ciências Farmacêuticas;35;33;30;25
Enfermagem;17;18;21;30
Nutrição Humana;34;36;35;31
Odontologia;-;-;7;13
Saúde Coletiva;33;40;50;61
Faculdade de Tecnologia - FT;447;449;459;439
Ciências Florestais;50;43;41;35
Ciências Mecânicas;78;75;80;76
Engenharia de Sistemas Eletrônicos e de Automação;63;55;48;44
Engenharia Elétrica;45;47;49;51
Estruturas e Construção Civil;63;73;74;72
Geotecnia;50;58;55;65
Sistemas Mecatrônicos;32;36;58;51
Tecnologia Ambiental e Recursos Hídricos;33;24;22;19
Transportes;33;38;32;26
Faculdade UnB Planaltina - FUP;7;13;21;34
Ciências Ambientais;7;13;21;34
Instituto de Ciências Biológicas - IB;337;344;330;320
Biologia Animal;41;42;31;29
Biologia Microbiana;16;17;22;24
Biotecnologia e Biodiversidade;17;22;24;22
Botânica;55;51;44;36
Ciências Biológicas;81;78;82;85
Ecologia;52;46;44;44
Fitopatologia;29;33;30;29
Nanociência e Nanobiotecnologia;32;39;38;36
Zoologia;14;16;15;15
Instituto de Ciências Sociais - ICS;182;178;188;192
Antropologia;61;60;66;71
Ciências Sociais;51;51;49;48
Sociologia;70;67;73;73
Instituto de Artes - IdA;56;67;81;70
Artes;56;67;81;-
Artes Visuais;-;-;-;70
Instituto de Ciências Exatas - IE;89;102;107;115
Informática;34;40;44;53
Matemática;55;62;63;62
Instituto de Física - IF;75;84;84;83
Física;75;84;84;83
Instituto de Geociências - IG;95;108;124;124
Geociências Aplicadas;41;47;-;-
Geociências Aplicadas e Geodinâmica;-;-;54;50
Geologia;54;61;70;74
Instituto de Ciências Humanas - IH;146;170;199;245
Filosofia;-;-;11;33
Geografia;83;88;98;115
História;32;50;49;52
Política Social;31;32;41;44
Instituto de Letras - IL;190;207;226;272
Linguística;101;98;93;101
Literatura;89;109;133;171
Instituto de Psicologia - IP;191;176;188;191
Ciências do Comportamento;38;36;35;35
Ensino na Saúde;8;-;-;-
Processos de Desenvolvimento Humano e Saúde;38;42;49;44
Psicologia;-;-;-;-
Psicologia Clínica e Cultura;75;66;72;70
Psicologia Social do Trabalho e das Organizações;32;32;32;42
Instituto de Ciência Política - IPOL;31;42;53;64
Ciência Política;31;42;53;64
Instituto de Química - IQ;118;139;156;149
Educação em Ciências;11;21;30;38
Química;76;80;90;82
Tecnologias Química e Biológica;31;38;36;29
Instituto de Relações Internacionais - IREL;51;46;43;43
Relações Internacionais;35;33;30;30
Relações Internacionais - Interinstitucional;14;13;13;13
Relações Internacionais e Desenvolvimento Regional;2;-;-;-
Total Geral;3372;3503;3712;3859
