Unidade Acadêmica / Curso / Habilitação;2014;2015;2016;2017
Centro de Excelência em Turismo - CET;82;80;82;84
Turismo (B - Integral);82;80;82;84
Faculdade de Comunicação - FAC;261;264;340;281
Comunicação Organizacional (B - Noturno);80;90;96;95
Comunicação Social (ABI - Integral);122;138;82;86
Comunicação Social-Audiovisual (B - Integral);15;7;17;14
Comunicação Social-Jornalismo (B - Integral);24;17;128;68
Comunicação Social-Public. Propaganda (B - Integral);20;12;17;18
Faculdade de Economia, Administração e Contabilidade - FACE;837;836;1102;811
Administração (B - Integral);136;277;554;282
Administração (B - Noturno);151;-;-;-
Administração Pública (B - A Distância);-;-;-;-
Ciências Contábeis (B - Integral);120;141;143;148
Ciências Contábeis (B - Noturno);191;165;143;143
Ciências Econômicas (B - Integral);136;143;150;130
Gestão de Políticas Públicas (B - Noturno);103;110;112;108
Faculdade de Arquitetura e Urbanismo - FAU;174;172;161;157
Arquitetura e Urbanismo (B - Integral);108;97;94;96
Arquitetura e Urbanismo (B - Noturno);66;75;67;61
Faculdade de Agronomia e Medicina Veterinária - FAV;343;335;335;346
Agronomia (B - Integral);165;163;166;162
Gestão do Agronegócio (B - Noturno);75;71;78;86
Medicina Veterinária (B - Integral);103;101;91;98
Faculdade UnB Ceilândia - FCE;578;589;605;619
Enfermagem FCE (B - Integral);101;116;111;117
Farmácia (B - Integral);102;91;105;101
Fisioterapia (B - Integral);102;112;107;107
Fonoaudiologia (B - Integral);70;75;73;73
Saúde Coletiva (B - Integral);107;102;113;120
Terapia Ocupacional (B - Integral);96;93;96;101
Faculdade de Ciência da Informação - FCI;238;234;248;235
Arquivologia (B - Noturno);91;89;96;91
Biblioteconomia (B - Integral);85;82;86;82
Museologia (B - Integral);62;63;66;62
Faculdade de Direito - FD;273;281;292;305
Direito (B - Integral);142;145;149;164
Direito (B - Noturno);131;136;143;141
Faculdade de Educação - FE;260;279;255;250
Pedagogia (L - A Distância);-;-;-;-
Pedagogia (L - Integral);165;170;164;162
Pedagogia (L - Noturno);95;109;91;88
Faculdade de Educação Física - FEF;202;223;234;241
Educação Física (B - Integral);99;101;119;129
Educação Física (L - A Distância);-;-;-;-
Educação Física (L - Integral);103;122;115;112
Faculdade UnB Gama - FGA;552;561;561;562
Engenharia (ABI - Integral);531;556;555;551
Engenharia Aeroespacial (B - Integral);6;1;1;4
Engenharia Automotiva (B - Integral);-;-;-;1
Engenharia de Energia (B - Integral);5;2;2;1
Engenharia de Software (B - Integral);-;-;-;1
Engenharia Eletrônica (B - Integral);10;2;3;4
Faculdade de Medicina - FM;81;91;83;88
Medicina (B - Integral);81;91;83;88
Faculdade de Ciências da Saúde - FS;464;475;455;466
Ciências Farmacêuticas (B - Integral);80;82;81;84
Ciências Farmacêuticas (B - Noturno);60;60;59;76
Farmácia (B - Noturno);-;-;-;-
Enfermagem (B - Integral);93;94;84;90
Enfermagem (L - Integral);-;-;-;-
Gestão de Saúde Coletiva (B - Noturno);70;72;81;84
Nutrição (B - Integral);77;86;80;75
Odontologia (B - Integral);84;81;70;57
Faculdade de Tecnologia - FT;800;797;758;785
Engenharia Ambiental (B - Integral);84;86;81;83
Engenharia Civil (B - Integral);108;102;94;96
Engenharia de Produção (B - Noturno);120;115;118;142
Engenharia de Redes de Comunicação (B - Integral);83;84;81;81
Engenharia Elétrica (B - Integral);104;97;100;97
Engenharia Florestal (B - Integral);100;102;95;98
Engenharia Mecânica (B - Integral);112;120;101;99
Engenharia Mecatrônica (B - Integral);89;91;88;89
Faculdade UnB Planaltina - FUP;350;412;339;259
Ciências Naturais (L - Integral);73;69;70;57
Ciências Naturais (L - Noturno);66;68;62;67
