Unidade Acadêmica / Curso / Habilitação;2014;2015;2016;2017
Centro de Excelência em Turismo - CET;274;293;321;335
Turismo (B - Integral);274;293;321;335
Faculdade de Comunicação - FAC;1.035;1126;1116;1138
Comunicação Organizacional (B - Noturno);313;347;383;392
Comunicação Social (ABI - Integral);115;187;82;84
Comunicação Social-Audiovisual (B - Integral);186;173;169;173
Comunicação Social-Jornalismo (B - Integral);227;230;289;275
Comunicação Social-Public. Propaganda (B - Integral);194;189;193;214
Faculdade de Economia, Administração e Contabilidade - FACE;3.273;3321;4412;3240
Administração (B - Integral);567;1163;2324;1146
Administração (B - Noturno);582;-;-;-
Administração Pública (B - A Distância);117;62;23;-
Ciências Contábeis (B - Integral);404;457;483;536
Ciências Contábeis (B - Noturno);755;739;697;667
Ciências Econômicas (B - Integral);483;501;487;493
Gestão de Políticas Públicas (B - Noturno);365;399;398;398
Faculdade de Arquitetura e Urbanismo - FAU;805;902;923;940
Arquitetura e Urbanismo (B - Integral);528;555;553;546
Arquitetura e Urbanismo (B - Noturno);277;347;370;394
Faculdade de Agronomia e Medicina Veterinária - FAV;1.246;1358;1377;1447
Agronomia (B - Integral);622;676;679;712
Gestão do Agronegócio (B - Noturno);206;226;221;253
Medicina Veterinária (B - Integral);418;456;477;482
Faculdade UnB Ceilândia - FCE;2.067;2230;2320;2445
Enfermagem FCE (B - Integral);414;448;468;496
Farmácia (B - Integral);426;440;460;460
Fisioterapia (B - Integral);441;491;502;520
Fonoaudiologia (B - Integral);104;169;234;281
Saúde Coletiva (B - Integral);356;350;327;328
Terapia Ocupacional (B - Integral);326;332;329;360
Faculdade de Ciência da Informação - FCI;913;932;934;921
Arquivologia (B - Noturno);358;358;363;352
Biblioteconomia (B - Integral);351;363;355;351
Museologia (B - Integral);204;211;216;218
Faculdade de Direito - FD;1.303;1338;1340;1344
Direito (B - Integral);628;653;667;670
Direito (B - Noturno);675;685;673;674
Faculdade de Educação - FE;1.349;1293;1182;1170
Pedagogia (L - A Distância);362;265;179;143
Pedagogia (L - Integral);640;651;619;641
Pedagogia (L - Noturno);347;377;384;386
Faculdade de Educação Física - FEF;1.008;914;903;942
Educação Física (B - Integral);252;330;396;451
Educação Física (L - A Distância);321;134;92;84
Educação Física (L - Integral);435;450;415;407
Faculdade UnB Gama - FGA;2.124;2332;2293;2419
Engenharia (ABI - Integral);913;1033;799;785
Engenharia Aeroespacial (B - Integral);110;175;242;292
Engenharia Automotiva (B - Integral);191;198;193;194
Engenharia de Energia (B - Integral);327;296;289;261
Engenharia de Software (B - Integral);297;315;400;475
Engenharia Eletrônica (B - Integral);286;315;370;412
Faculdade de Medicina - FM;514;532;554;544
Medicina (B - Integral);514;532;554;544
Faculdade de Ciências da Saúde - FS;1.757;1843;1877;1949
Ciências Farmacêuticas (B - Integral);364;353;355;365
Ciências Farmacêuticas (B - Noturno);196;221;237;259
Farmácia (B - Noturno);-;-;-;-
Enfermagem (B - Integral);369;392;405;411
Enfermagem (L - Integral);26;4;-;-
Gestão de Saúde Coletiva (B - Noturno);226;240;249;272
Nutrição (B - Integral);276;310;309;323
Odontologia (B - Integral);300;323;322;319
Faculdade de Tecnologia - FT;3.472;3642;3629;3696
Engenharia Ambiental (B - Integral);313;348;364;379
Engenharia Civil (B - Integral);515;519;505;501
Engenharia de Produção (B - Noturno);477;523;546;576
Engenharia de Redes de Comunicação (B - Integral);333;337;333;342
Engenharia Elétrica (B - Integral);472;496;505;519
Engenharia Florestal (B - Integral);469;487;464;459
Engenharia Mecânica (B - Integral);502;516;496;505
Engenharia Mecatrônica (B - Integral);391;416;416;415
Faculdade UnB Planaltina - FUP;1.187;1283;1277;1200
Ciências Naturais (L - Integral);223;230;229;195
Ciências Naturais (L - Noturno);219;215;200;220
Educação do Campo (L - Integral);199;257;253;204
Gestão Ambiental (B - Noturno);257;279;284;275
Gestão do Agronegócio (B - Integral);289;302;311;306
Instituto de Ciências Biológicas - IB;1.111;1155;1112;1117
Biotecnologia (B - Integral);266;311;329;321
Ciências Biológicas (ABI - Integral);80;122;81;78
Ciências Biológicas (B - Integral);296;302;292;298
Ciências Biológicas (L - A Distância);114;54;36;26
Ciências Biológicas (L - Integral);34;11;8;-
Ciências Biológicas (L - Noturno);321;355;366;394
Instituto de Ciências Sociais - ICS;771;862;819;828
Ciências Sociais (ABI - Integral);172;255;173;166
Ciências Sociais (L - Integral);101;143;177;231
Ciências Sociais-Antropologia (B - Integral);112;109;132;128
Ciências Sociais-C. Sociais (B - Integral);288;264;231;187
Ciências Sociais-Sociologia (B - Integral);98;91;106;116
Instituto de Artes - IdA;1.960;1889;1863;1878
Artes Cênicas (ABI - Integral);50;79;49;51
Artes Cênicas (B - Integral);108;111;124;123
Artes Cênicas (L - Integral);73;83;88;91
Artes Cênicas (L – Noturno);47;59;80;93
Artes Plásticas (ABI - Integral);-;57;59;61
Artes Plásticas (B - Integral);221;183;191;184
Artes Plásticas (L - Integral);92;105;89;92
Artes Plásticas (L - Noturno);101;110;122;128
Artes Visuais (L - A Distância);185;102;58;37
Desenho Industrial-Prog. Visual (B - Integral);130;142;145;145
Desenho Industrial-Proj. Produto (B - Integral);82;89;73;69
Design (ABI - Integral);33;54;39;39
Educação Artística-Cênicas (L - Integral);2;2;2;1
Educação Artística-Música (L - Integral);29;13;6;2
Música (ABI - Integral);10;17;20;20
Música (B - Integral);65;60;52;59
Música (L - A Distância);193;101;65;55
Música (L - Integral);57;80;98;118
Música (L - Noturno);154;139;135;117
Música-Canto (B - Integral);7;6;52;59
Música-Composição (B - Integral);23;24;25;30
Música-Regência (B - Integral);5;5;5;4
Teatro (L - A Distância);112;40;21;16
Teoria Crítica e História da Arte (B - Noturno);181;228;265;284
Instituto de Ciências Exatas - IE;1.701;1778;1778;1876
Ciência da Computação (B - Integral);381;383;382;389
Computação (L - Noturno);300;313;323;336
Engenharia de Computação (B - Integral);329;354;355;403
Estatística (B - Integral);297;297;309;314
Matemática (ABI - Integral);58;103;68;71
Matemática (B - Integral);59;41;60;56
Matemática (L - Integral);101;111;112;127
Matemática (L - Noturno);176;176;169;180
Instituto de Física - IF;366;421;376;410
Física (ABI - Integral);67;106;64;67
Física (B - Integral);115;103;113;122
Física (L - Integral);27;30;22;15
Física (L - Noturno);150;176;174;205
Física Computacional (B - Integral);7;6;3;1
Instituto de Geociências - IG;809;808;805;811
Ciências Ambientais (B - Noturno);309;312;329;342
Geofísica (B - Integral);186;171;156;158
Geologia (B - Integral);314;325;320;311
Instituto de Ciências Humanas - IH;2.242;2325;2347;2591
Filosofia (ABI - Integral);66;112;77;80
Filosofia (B - Integral);70;95;116;105
Filosofia (L - Integral);129;138;155;171
Filosofia (L - Noturno);207;225;262;291
Geografia (ABI - Integral);68;98;68;68
Geografia (B - Integral);183;148;166;148
Geografia (L - A Distância);195;81;69;222
Geografia (L - Integral);56;61;67;81
História (ABI - Integral);73;117;78;76
História (B - Integral);170;134;96;89
História (L - Integral);114;153;191;217
História (L - Noturno);287;313;347;365
Serviço Social (B - Integral);322;333;339;342
Serviço Social (B - Noturno);302;317;316;336
Instituto de Letras - IL;2.695;2845;2738;2846
Letras (L - A Distância);267;158;110;89
Letras Francês (ABI - Integral);43;69;49;48
Letras Inglês (ABI - Integral);35;61;43;44
Letras Português (ABI - Integral);70;105;59;60
Letras-Espanhol (L - Noturno);227;243;252;271
Letras-Francês (B - Integral);50;69;66;59
Letras-Francês (L - Integral);67;79;79;90
Letras-Inglês (B - Integral);77;83;87;93
Letras-Inglês (L - Integral);106;116;111;119
Letras-Japonês (L - Noturno);167;183;176;197
Letras - Língua de Sinais Brasileira/Português Como Segunda Língua (L - Integral);-;27;62;90
Letras-Língua Estrang. Aplic. (B - Integral);180;205;198;213
Letras-Português (B - Integral);200;194;176;152
Letras-Português (L - Integral);123;118;134;137
Letras-Português (L - Noturno);389;396;386;415
Letras-Português do Brasil como Segunda Língua (L - Integral);195;205;207;219
Letras-Tradução Espanhol (B - Noturno);186;196;194;198
Letras-Tradução Francês (B - Integral);110;111;107;119
Letras-Tradução Inglês (B - Integral);203;227;242;233
Instituto de Psicologia - IP;606;689;646;652
Psicologia (B - Integral);14;13;41;43
Psicologia (L - Integral);14;16;16;9
Psicologia-Psicólogo (B - Integral);484;467;489;498
Psicologia (ABI - Integral);94;193;100;102
Instituto de Ciência Política - IPOL;456;480;483;478
Ciência Política (B - Integral);456;480;483;478
Instituto de Química - IQ;874;942;1004;1046
Engenharia Química (B - Integral);232;297;354;381
Química (B - Integral);222;216;211;212
Química (L - Noturno);219;214;214;219
Química Tecnológica (B - Integral);201;215;225;234
Instituto de Relações Internacionais - IREL;454;449;457;467
Relações Internacionais (B - Integral);454;449;457;467
Total Geral;36.372;37982;38886;38730
