Unidade Acadêmica/Curso;2015;2016;2017;2018
Centro de Desenvolvimento Sustentável - CDS;8;11;41;28
Desenvolvimento Sustentável;8;11;41;28
Centro de Apoio ao Desenvolvimento Tencnológico - CDT;-;-;-;16
Propriedade Intelectual e Transfer de Tecnol para Inovação Tecnológica;-;-;-;16
Centro de Estudos Avançados e Multidisciplinares - CEAM;22;25;32;27
Desenvolvimento, Sociedade e Cooperação Internacional;8;13;13;11
Direitos Humanos e Cidadania;14;12;19;16
Centro de Excelência em Turismo - CET;21;17;22;22
Turismo;21;17;22;22
Faculdade de Comunicação - FAC;26;19;24;20
Comunicação;26;19;24;20
Faculdade de Economia, Administração e Contabilidade - FACE;88;128;118;87
Administração;20;34;21;21
Administração Pública;14;13;5;19
Ciências Contábeis;13;19;14;18
Economia;41;62;78;29
Regulação e Gestão de Negócios;-;-;-;-
Faculdade de Arquitetura e Urbanismo - FAU;17;18;32;39
Arquitetura e Urbanismo;17;18;32;39
Faculdade de Agronomia e Medicina Veterinária - FAV;57;67;53;56
Agronegócios;11;12;11;18
Agronegócios Multi-institucional;-;-;-;-
Agronomia;19;23;23;21
Ciências Animais;14;17;8;7
Saúde Animal;13;15;11;10
Faculdade UnB Ceilândia - FCE;9;21;53;25
Ciências da Reabilitação;-;-;10;10
Ciências e Tecnologias em Saúde;9;21;43;15
Faculdade de Ciência da Informação - FCI;22;21;9;20
Ciência da Informação;22;21;9;20
Faculdade de Direito - FD;33;38;56;39
Direito;33;38;56;39
Faculdade de Educação - FE;74;73;50;42
Educação;74;73;50;42
Faculdade de Educação Física - FEF;31;32;25;19
Educação Física;31;32;25;19
Faculdade UnB Gama - FGA;17;15;20;26
Engenharia Biomédica;17;15;20;26
Faculdade de Medicina - FM;27;29;23;32
Ciências Médicas;14;19;11;19
Medicina Tropical;13;10;12;13
Patologia Molecular;7;9;11;9
Faculdade de Ciências da Saúde - FS;117;131;130;121
Bioética;8;6;11;7
Ciências da Saúde;44;35;46;34
Ciências Farmacêuticas;12;20;6;17
Enfermagem;14;19;16;19
Nutrição Humana;16;12;13;6
Saúde Coletiva;16;30;27;29
Faculdade de Tecnologia - FT;140;215;166;204
Ciências Agrárias;-;-;-;
Ciências Florestais;18;22;16;21
Ciências Mecânicas;9;16;22;33
Engenharia de Sistemas Eletrônicos e de Automação;8;9;17;12
Engenharia Elétrica;25;51;17;19
Estruturas e Construção Civil;24;25;29;28
Geotecnia;12;17;17;25
Integridade de Materiais da Engenharia;10;15;10;21
Sistemas Mecatrônicos;10;21;18;23
Tecnologia Ambiental e Recursos Hídricos;12;16;10;12
Transportes;12;23;10;10
Faculdade UnB Planaltina - FUP;34;42;52;45
Ciências Ambientais;-;-;8;9
Ciências de Materiais;12;7;5;6
Gestão Pública;9;21;25;14
Meio Ambiente e Desenvolvimento Rural;13;14;14;16
Instituto de Ciências Biológicas - IB;92;90;73;85
Biologia Animal;11;15;4;22
Biologia Microbiana;6;5;5;6
Botânica;19;13;13;8
Ciências Biológicas;12;15;7;16
Ecologia;13;19;21;6
Fitopatologia;7;6;9;10
Nanociência e Nanobiotecnologia;13;7;8;11
Zoologia;11;10;6;6
Instituto de Ciências Sociais - ICS;31;37;45;39
Antropologia;11;11;16;14
Ciências Sociais;8;8;10;12
Metafísica;-;-;2;13
Sociologia;12;18;17;13
Instituto de Artes - IdA;40;69;60;71
Artes;17;44;16;14
Artes Cênicas;-;11;9;13
Artes Visuais;-;-;-;20
Design;10;8;11;9
Música;13;6;24;15
Instituto de Ciências Exatas - IE;85;72;78;82
Computação Aplicada;24;12;22;22
Estatística;16;9;13;12
Informática;13;19;14;21
Matemática;6;11;15;7
Mestrado Profissional em Matemática;26;21;14;20
Instituto de Física - IF;33;24;17;31
Ensino de Física;22;8;4;20
Física;11;16;13;11
Instituto de Geociências - IG;41;37;40;50
Geociências Aplicadas;21;16;-;-
Geociências Aplicadas e Geodinâmica;-;-;18;22
Geologia;20;21;22;28
Instituto de Ciências Humanas - IH;69;78;49;83
Filosofia;15;8;7;15
Geografia;35;29;16;14
História;7;31;13;32
Política Social;12;10;13;9
Instituto de Letras - IL;69;84;115;94
Estudos da Tradução;8;16;35;26
Linguística;22;23;18;18
Linguística Aplicada;19;22;14;22
Literatura;20;23;48;28
Instituto de Psicologia - IP;54;52;78;69
Ciências do Comportamento;7;15;12;17
Processos de Desenvolvimento Humano e Saúde;14;4;26;15
Psicologia Clínica e Cultura;21;23;22;16
Psicologia Social do Trabalho e das Organizações;12;10;18;21
Instituto de Ciência Política - IPOL;11;14;18;14
Ciência Política;11;14;18;14
Instituto de Química - IQ;39;52;55;51
Ensino de Ciências;18;12;20;17
Química;14;31;20;21
Tecnologias Química e Biológica;7;9;15;13
Instituto de Relações Internacionais - IREL;20;15;17;12
Relações Internacionais;20;15;17;12
Total Geral;1327;1526;1551;1.549
