Unidade Acadêmica/Curso;2015;2016;2017;2018
Centro de Desenvolvimento Sustentável - CDS;48;28;32;14
Desenvolvimento Sustentável;48;28;32;14
Centro de Apoio ao Desenvolvimento Tencnológico - CDT;-;7;23;25
Propriedade Intelectual e Transfer de Tecnol para Inovação Tecnológica;-;7;23;25
Centro de Estudos Avançados e Multidisciplinares - CEAM;34;32;43;35
Desenvolvimento, Sociedade e Cooperação Internacional;16;13;17;10
Direitos Humanos e Cidadania;18;19;26;25
Centro de Excelência em Turismo - CET;29;20;18;0
Turismo;29;20;18;0
Faculdade de Comunicação - FAC;27;22;28;22
Comunicação;27;22;28;22
Faculdade de Economia, Administração e Contabilidade - FACE;147;173;115;291
Administração;40;57;32;27
Administração Pública;-;23;20;24
Ciências Contábeis;20;17;17;17
Economia;87;76;46;223
Faculdade de Arquitetura e Urbanismo - FAU;39;51;52;44
Arquitetura e Urbanismo;39;51;52;44
Faculdade de Agronomia e Medicina Veterinária - FAV;67;54;63;62
Agronegócios;13;20;15;15
Agronomia;24;21;20;17
Ciências Animais;11;7;13;16
Saúde Animal;19;6;15;14
Faculdade UnB Ceilândia - FCE;25;61;31;58
Ciências da Reabilitação;-;18;22;34
Ciências e Tecnologias em Saúde;25;43;9;24
Faculdade de Ciência da Informação - FCI;17;20;22;22
Ciência da Informação;17;20;22;22
Faculdade de Direito - FD;63;43;37;39
Direito;63;43;37;39
Faculdade de Educação - FE;46;67;100;105
Educação;46;67;100;105
Faculdade de Educação Física - FEF;29;23;22;35
Educação Física;29;23;22;35
Faculdade UnB Gama - FGA;27;27;29;28
Engenharia Biomédica;27;27;29;28
Faculdade de Medicina - FM;31;39;42;53
Ciências Médicas;18;19;33;27
Medicina Tropical;13;20;9;26
Patologia Molecular;8;12;14;12
Faculdade de Ciências da Saúde - FS;154;147;143;169
Bioética;12;13;11;13
Ciências da Saúde;55;43;22;37
Ciências Farmacêuticas;14;20;17;9
Enfermagem;20;17;23;21
Nutrição Humana;17;7;5;19
Odontologia;-;-;24;16
Saúde Coletiva;28;35;27;42
Faculdade de Tecnologia - FT;272;295;270;238
Ciências Florestais;20;24;12;28
Ciências Mecânicas;50;49;31;35
Engenharia de Sistemas Eletrônicos e de Automação;22;19;16;14
Engenharia Elétrica;21;29;26;48
Estruturas e Construção Civil;43;38;36;30
Geotecnia;20;33;22;29
Integridade de Materiais da Engenharia;24;33;15;14
Sistemas Mecatrônicos;43;38;84;13
Tecnologia Ambiental e Recursos Hídricos;15;16;15;15
Transportes;14;16;13;12
Faculdade UnB Planaltina - FUP;59;46;55;90
Ciências Ambientais;9;10;11;18
Ciências de Materiais;10;6;6;12
Gestão e Regulação de Recursos Hídricos;;;;21
Gestão Pública;22;15;22;22
Meio Ambiente e Desenvolvimento Rural;18;15;16;17
Instituto de Ciências Biológicas - IB;83;102;132;121
Biologia Animal;7;23;9;18
Biologia Microbiana;7;5;14;10
Botânica;15;17;10;5
Ciências Biológicas;7;19;10;12
Ecologia;20;7;25;9
Ensino de Biologia em Rede Nacional;-;-;30;35
Fitopatologia;7;9;12;12
Nanociência e Nanobiotecnologia;11;13;16;8
Zoologia;9;9;6;12
Instituto de Ciências Sociais - ICS;53;72;65;37
Antropologia;20;16;19;11
Ciências Sociais;15;14;22;9
Metafísica;;23;8;8
Sociologia;18;19;16;17
Instituto de Artes - IdA;58;80;84;93
Artes;21;39;27;32
Artes Cênicas;9;14;13;14
Artes Visuais;;;;19
Design;11;11;21;15
Música;17;16;23;13
Instituto de Ciências Exatas - IE;106;166;116;141
Computação Aplicada;30;35;35;37
Estatística;17;18;18;17
Informática;12;27;32;11
Matemática;27;28;31;35
Mestrado Profissional em Matemática;20;58;-;41
Instituto de Física - IF;21;42;47;30
Ensino de Física;-;30;26;18
Física;21;12;21;12
Instituto de Geociências - IG;53;56;54;41
Geociências Aplicadas;23;23;-;0
Geociências Aplicadas e Geodinâmica;-;-;28;16
Geologia;30;33;26;25
Instituto de Ciências Humanas - IH;74;82;96;108
Filosofia;16;14;21;24
Geografia;30;21;28;32
História;14;38;26;22
Política Social;14;9;21;22
Instituto de Letras - IL;124;110;121;134
Estudos da Tradução;37;33;16;39
Linguística;17;23;30;43
Linguística Aplicada;22;23;30;23
Literatura;48;31;45;29
Instituto de Psicologia - IP;84;75;93;93
Ciências do Comportamento;13;18;26;20
Processos de Desenvolvimento Humano e Saúde;28;14;32;14
Psicologia Clínica e Cultura;27;17;22;44
Psicologia Social do Trabalho e das Organizações;16;26;13;15
Instituto de Ciência Política - IPOL;19;21;19;12
Ciência Política;19;21;19;12
Instituto de Química - IQ;78;69;75;42
Ensino de Ciências;25;18;24;22
Química;33;27;41;20
Tecnologias Química e Biológica;20;24;10;0
Instituto de Relações Internacionais - IREL;16;17;15;10
Relações Internacionais;16;17;15;10
Total Geral;1883;2047;2042;2192
