Unidade Acadêmica/Curso;2014;2015;2016;2017
Centro de Desenvolvimento Sustentável - CDS;41;74;81;80
Desenvolvimento Sustentável;41;74;81;80
Centro de Apoio ao Desenvolvimento Tencnológico - CDT;72;79;7;30
Propriedade Intelectual e Transfer de Tecnol para Inovação Tecnológica;29;32;7;30
Centro de Estudos Avançados e Multidisciplinares - CEAM;72;79;80;93
Desenvolvimento, Sociedade e Cooperação Internacional;29;32;28;28
Direitos Humanos e Cidadania;43;47;52;65
Centro de Excelência em Turismo - CET;46;48;50;42
Turismo;46;48;50;42
Faculdade de Comunicação - FAC;53;59;46;49
Comunicação;53;59;46;49
Faculdade de Economia, Administração e Contabilidade - FACE;429;430;300;243
Administração;72;76;61;60
Administração Profissionalizante;            -;-;-;-
Administração Pública;51;34;39;41
Ciências Contábeis;38;35;31;35
Economia;257;276;169;107
Regulação e Gestão de Negócios;11;9;-;-
Faculdade de Arquitetura e Urbanismo - FAU;63;74;97;110
Arquitetura e Urbanismo;63;74;97;110
Faculdade de Agronomia e Medicina Veterinária - FAV;165;152;117;121
Agronegócios;26;26;32;35
Agronegócios Multi-institucional;11;-;-;-
Agronomia;55;52;43;42
Ciências Animais;40;36;17;20
Saúde Animal;33;38;25;24
Faculdade UnB Ceilândia - FCE;35;45;89;101
Ciências da Reabilitação;35;45;18;39
Ciências e Tecnologias em Saúde;35;45;71;62
Faculdade de Ciência da Informação - FCI;53;46;36;49
Ciência da Informação;53;46;36;49
Faculdade de Direito - FD;98;114;108;102
Direito;98;114;108;102
Faculdade de Educação - FE;174;151;113;165
Educação;174;151;113;165
Faculdade de Educação Física - FEF;80;83;66;66
Educação Física;80;83;66;66
Faculdade UnB Gama - FGA;37;53;54;63
Engenharia Biomédica;37;53;54;63
Faculdade de Medicina - FM;100;74;78;78
Ciências Médicas;48;42;47;53
Medicina Tropical;34;32;31;25
Patologia Molecular;18;18;20;26
Faculdade de Ciências da Saúde - FS;349;375;347;344
Bioética;23;27;25;24
Ciências da Saúde;131;135;112;81
Ciências Farmacêuticas;40;34;35;38
Enfermagem;46;50;51;51
Nutrição Humana;38;43;27;24
Odontologia;-;-;-;24
Saúde Coletiva;71;68;77;76
Faculdade de Tecnologia - FT;679;687;582;581
Ciências Agrárias;15;-;-;-
Ciências Florestais;51;46;44;37
Ciências Mecânicas;124;140;97;92
Engenharia de Sistemas Eletrônicos e de Automação;54;57;38;40
Engenharia Elétrica;111;100;78;55
Estruturas e Construção Civil;74;84;82;76
Geotecnia;46;49;50;52
Integridade de Materiais da Engenharia;35;41;48;46
Sistemas Mecatrônicos;75;86;75;130
Tecnologia Ambiental e Recursos Hídricos;45;41;36;30
Transportes;49;43;34;23
Faculdade UnB Planaltina - FUP;106;124;106;111
Ciências Ambientais;-;9;17;25
Ciências de Materiais;31;23;16;14
Gestão e Regulação de Recursos Hídricos;;;;
Gestão Pública;32;53;39;38
Meio Ambiente e Desenvolvimento Rural;43;39;34;34
Instituto de Ciências Biológicas - IB;250;211;196;244
Biologia Animal;28;23;31;33
Biologia Microbiana;12;13;13;21
Botânica;61;43;33;33
Ciências Biológicas;32;22;26;28
Ecologia;37;45;33;36
Ensino de Biologia em Rede Nacional;-;-;-;30
Fitopatologia;18;19;19;20
Nanociência e Nanobiotecnologia;31;25;24;29
Zoologia;31;21;17;14
Instituto de Ciências Sociais - ICS;91;106;125;142
Antropologia;28;37;34;39
Ciências Sociais;;;28;32
Metafísica;21;26;23;28
Sociologia;42;43;40;43
Instituto de Artes - IdA;157;170;168;192
Artes;84;78;62;69
Artes Cênicas;12;21;33;31
Artes Visuais;;;;
Design;20;27;27;37
Música;41;44;46;55
Instituto de Ciências Exatas - IE;234;232;253;272
Computação Aplicada;60;61;68;88
Estatística;26;28;28;30
Informática;44;43;45;57
Matemática;39;46;36;34
Mestrado Profissional em Matemática;65;54;76;63
Instituto de Física - IF;87;88;72;89
Ensino de Física;48;48;40;48
Física;39;40;32;41
Instituto de Geociências - IG;140;129;134;134
Geociências Aplicadas;48;51;57;-
Geociências Aplicadas e Geodinâmica;-;-;-;63
Geologia;92;78;77;71
Instituto de Ciências Humanas - IH;213;200;177;193
Filosofia;41;37;29;42
Geografia;87;79;52;53
História;56;54;75;69
Política Social;29;30;21;29
Instituto de Letras - IL;200;228;234;248
Estudos da Tradução;25;53;69;54
Linguística;53;48;41;53
Linguística Aplicada;43;44;44;53
Literatura;79;83;80;88
Instituto de Psicologia - IP;159;163;172;188
Ciências do Comportamento;34;29;33;42
Processos de Desenvolvimento Humano e Saúde;23;37;41;54
Psicologia Clínica e Cultura;65;66;60;55
Psicologia Social do Trabalho e das Organizações;37;31;38;37
Instituto de Ciência Política - IPOL;39;39;37;38
Ciência Política;39;39;37;38
Instituto de Química - IQ;170;165;147;141
Ensino de Ciências;54;48;43;44
Química;85;80;65;73
Tecnologias Química e Biológica;31;37;39;24
Instituto de Relações Internacionais - IREL;38;29;31;27
Relações Internacionais;38;29;31;27
Total Geral;4358;4428;4103;4336
